global_dialog_id,question_id,dialog_id,level,grammar_target,dialog_text,question_text,choice_1,choice_2,choice_3,choice_4,correct_answer,question_type,difficulty,manual_review,used_count
301,1,1,3,past tense,"A: What did you do yesterday?
B: I visited my grandmother and helped her cook dinner.
A: That’s nice! Did she like it?
B: Yes, she did.",What did the boy do yesterday?,Visited his grandmother,Went to school,Slept all day,Played soccer,Visited his grandmother,Comprehension,3,False,0
301,2,1,3,past tense,"A: What did you do yesterday?
B: I visited my grandmother and helped her cook dinner.
A: That’s nice! Did she like it?
B: Yes, she did.",What verb shows the past?,Like,Cook,Visited,Help,Visited,Grammar,3,False,0
301,3,1,3,past tense,"A: What did you do yesterday?
B: I visited my grandmother and helped her cook dinner.
A: That’s nice! Did she like it?
B: Yes, she did.",Who did he visit?,His teacher,His friend,His sister,His grandmother,His grandmother,Detail,3,False,0
302,4,2,3,modals (should),"A: I have a headache.
B: You should take some rest and drink water.
A: Thanks, I will.",What problem does the girl have?,A sore throat,A cold,A stomachache,A headache,A headache,Comprehension,3,False,0
302,5,2,3,modals (should),"A: I have a headache.
B: You should take some rest and drink water.
A: Thanks, I will.",What advice does the boy give?,Study more,Take rest and drink water,Go running,Eat candy,Take rest and drink water,Function,3,False,0
302,6,2,3,modals (should),"A: I have a headache.
B: You should take some rest and drink water.
A: Thanks, I will.",Which modal verb gives advice?,Must,Can,Should,Do,Should,Grammar,3,False,0
303,7,3,3,conjunctions,"A: Why are you late?
B: Because the bus broke down.
A: Oh no! So you walked here?
B: Yes, it took twenty minutes.",Why was the boy late?,The bus broke down,He missed the bus,He forgot his bag,He woke up late,The bus broke down,Comprehension,3,False,0
303,8,3,3,conjunctions,"A: Why are you late?
B: Because the bus broke down.
A: Oh no! So you walked here?
B: Yes, it took twenty minutes.",What conjunction explains a reason?,So,Because,But,And,Because,Grammar,3,False,0
303,9,3,3,conjunctions,"A: Why are you late?
B: Because the bus broke down.
A: Oh no! So you walked here?
B: Yes, it took twenty minutes.",How long did it take to walk?,20 minutes,30 minutes,15 minutes,10 minutes,20 minutes,Detail,3,False,0
304,10,4,3,adverbs of frequency,"A: How often do you go to the gym?
B: I go three times a week, but I sometimes skip Sunday.",How often does she go to the gym?,Once a week,Every day,Three times a week,Never,Three times a week,Comprehension,3,False,0
