id,created_at,question_text,choice_1,choice_2,choice_3,choice_4,correct_answer,section,question_type,level,difficulty,random_order,type,manual_review,media_url,updated_at,used_count,source_file,instructions
1,2024-10-20,He ___ happy every day.,is,are,was,were,is,Grammar,multiple choice,1,1,True,"simple present, agreement",False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
2,2024-10-20,I ___ my homework every night.,does,do,did,doing,do,Grammar,multiple choice,1,1,True,"simple present, verb",False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
3,2024-10-20,They ___ to the park on Sundays.,goes,go,went,going,go,Grammar,multiple choice,1,1,True,"simple present, verb",False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
4,2024-10-20,Choose the correct article: He has ____ apple.,a,an,the,none,an,Grammar,multiple choice,1,1,True,articles,False,,2024-10-20,0,Grammar Level 1.csv,Select the correct article to complete the sentence.
5,2024-10-20,How many ___ are there? (book),book,books,book’s,books’,books,Grammar,multiple choice,1,1,True,plurals,False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
6,2024-10-20,She ___ a teacher.,is,are,am,be,is,Grammar,multiple choice,1,1,True,"simple present, verb",False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
7,2024-10-20,The dogs ____ hungry.,is,are,am,be,are,Grammar,multiple choice,1,1,True,agreement,False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
8,2024-10-20,Does she ____ her homework?,do,doing,did,does,does,Grammar,multiple choice,1,1,True,simple present,False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
9,2024-10-20,The cat is on the _____.,table,tables,table’s,tables’,table,Grammar,multiple choice,1,1,True,prepositions,False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
10,2024-10-20,The car ____ blue.,is,are,were,be,is,Grammar,multiple choice,1,1,True,"simple present, adjectives",False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
11,2024-10-20,True/False: She eats breakfast every morning.,TRUE,FALSE,,,TRUE,Grammar,true/false,1,1,False,simple present,False,,2024-10-20,0,Grammar Level 1.csv,Select whether the sentence is correct or incorrect.
12,2024-10-20,"Choose the plural form: One dog, two _____.",dog,dogs,dog’s,dogs’,dogs,Grammar,multiple choice,1,1,True,plurals,False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
13,2024-10-20,He ____ to school every day.,go,goes,going,went,goes,Grammar,multiple choice,1,1,True,simple present,False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
14,2024-10-20,True/False: The books is on the table.,TRUE,FALSE,,,FALSE,Grammar,true/false,1,1,False,agreement,False,,2024-10-20,0,Grammar Level 1.csv,Select whether the sentence is correct or incorrect.
15,2024-10-20,I ____ my homework every night.,do,doing,did,done,do,Grammar,multiple choice,1,1,True,present tense,False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
16,2024-10-20,She is ____ a book.,read,reads,reading,to read,reading,Grammar,multiple choice,1,2,True,present continuous,False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
17,2024-10-20,They are ____ soccer.,playing,played,to play,play,playing,Grammar,multiple choice,1,2,True,present continuous,False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
18,2024-10-20,He ____ to the store yesterday.,goes,gone,went,going,went,Grammar,multiple choice,1,2,True,simple past,False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
19,2024-10-20,The children ____ playing in the park.,is,are,was,were,are,Grammar,multiple choice,1,2,True,present continuous,False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
20,2024-10-20,She ____ dinner last night.,cook,cooked,cooking,cooks,cooked,Grammar,multiple choice,1,2,True,"simple past, routine",False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
21,2024-10-20,They are ____ TV now.,watching,watched,to watch,watch,watching,Grammar,multiple choice,1,2,True,present continuous,False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
22,2024-10-20,True/False: She is going to school now.,TRUE,FALSE,,,TRUE,Grammar,true/false,1,2,False,present continuous,False,,2024-10-20,0,Grammar Level 1.csv,Select whether the sentence is correct or incorrect.
23,2024-10-20,They ____ lunch together yesterday.,eat,ate,eaten,eating,ate,Grammar,multiple choice,1,2,True,simple past,False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
24,2024-10-20,True/False: I am going to the park now.,TRUE,FALSE,,,TRUE,Grammar,true/false,1,2,False,present continuous,False,,2024-10-20,0,Grammar Level 1.csv,Select whether the sentence is correct or incorrect.
25,2024-10-20,We ____ to the cinema yesterday.,go,went,going,gone,went,Grammar,multiple choice,1,2,True,simple past,False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
26,2024-10-20,They are ____ their homework right now.,doing,does,did,do,doing,Grammar,multiple choice,1,2,True,present continuous,False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
27,2024-10-20,He ____ a song when I called him.,sings,sang,was singing,to sing,was singing,Grammar,multiple choice,1,2,True,past continuous,False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
28,2024-10-20,True/False: We watched TV yesterday.,TRUE,FALSE,,,TRUE,Grammar,true/false,1,2,False,simple past,False,,2024-10-20,0,Grammar Level 1.csv,Select whether the sentence is correct or incorrect.
29,2024-10-20,She is ____ to the store now.,goes,go,going,gone,going,Grammar,multiple choice,1,2,True,present continuous,False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
30,2024-10-20,I ____ to the gym last week.,go,going,went,gone,went,Grammar,multiple choice,1,2,True,simple past,False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
31,2024-10-20,The cat is ____ the table.,on,in,under,over,on,Grammar,multiple choice,1,3,True,prepositions,False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
32,2024-10-20,True/False: The dog is next to the tree.,TRUE,FALSE,,,TRUE,Grammar,true/false,1,3,False,prepositions,False,,2024-10-20,0,Grammar Level 1.csv,Select whether the sentence is correct or incorrect.
33,2024-10-20,The car is ____ the garage.,in,on,under,over,in,Grammar,multiple choice,1,3,True,prepositions,False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
34,2024-10-20,Choose the correct article: She has ____ apple.,a,an,the,none,an,Grammar,multiple choice,1,3,True,articles,False,,2024-10-20,0,Grammar Level 1.csv,Select the correct article to complete the sentence.
35,2024-10-20,Choose the adjective: The dog is happy.,dog,is,happy,the,happy,Grammar,multiple choice,1,3,True,adjectives,False,,2024-10-20,0,Grammar Level 1.csv,Select the correct adjective to complete the sentence.
36,2024-10-20,True/False: The boy is tall.,TRUE,FALSE,,,TRUE,Grammar,true/false,1,3,False,adjectives,False,,2024-10-20,0,Grammar Level 1.csv,Select whether the sentence is correct or incorrect.
37,2024-10-20,The dog is sitting ____ the chair.,next to,on,under,in,next to,Grammar,multiple choice,1,3,True,prepositions,False,,2024-10-20,0,Grammar Level 1.csv,Choose the correct word or phrase to complete the sentence.
