passage_id,title,level,difficulty,passage_text,media_url
L1-1,At School,1.1,1,Tom is at school. He reads a book and writes in his notebook. His teacher helps him learn new words.,
L1-2,My Dog,1.1,1,I have a dog. His name is Max. He likes to run and play in the park every day.,
L1-3,Colors,1.1,1,The sun is yellow. The sky is blue. The grass is green. Colors make the world bright.,
L1-4,In the Kitchen,1.1,1,Mom is in the kitchen. She is making breakfast. I smell the bread and see the milk on the table.,
L1-5,Rainy Day,1.2,2,It is raining outside. I take my umbrella. My sister wears a raincoat. We jump in small puddles.,
L1-6,At the Zoo,1.2,2,We go to the zoo on Sunday. I see a tall giraffe and a big elephant. The monkeys are funny.,
L1-7,A Picnic,1.2,2,Our family has a picnic at the park. We eat sandwiches and drink juice. We sit under a tree and talk.,
L1-8,In My Room,1.2,2,"My room is small but clean. I have a bed, a desk, and a chair. I keep my books on the shelf.",
L1-9,Helping at Home,1.3,3,Every weekend I help my parents at home. I clean my room and wash the dishes. Helping makes me happy.,
L1-10,At the Beach,1.3,3,"We visit the beach in summer. The sand is soft, and the sea is blue. I build a sandcastle with my brother.",
L1-11,The Seasons,1.3,3,"There are four seasons in a year. Spring is warm, summer is hot, fall is cool, and winter is cold.",
L1-12,The Big Farm,1.3,3,"We visit a farm. There are cows, sheep, and chickens. The farmer gives food to the animals every morning.",
L2-1,The Missing Pencil,2.1,1,"I had a red pencil I liked very much. Yesterday, I couldn’t find it anywhere. I looked in my desk and under my chair. Then my friend Sam found it near the window. I was happy to have my pencil again.",
L2-2,The New Student,2.1,1,A new student came to our class today. Her name is Lucy. She was shy at first. We shared our crayons and played together at lunch. Now she smiles every time she sees me.,
L2-3,The Broken Kite,2.1,1,"Tom’s kite flew high in the sky. Suddenly, the wind broke the string. The kite fell into a tree. Tom and his dad worked together to get it down. They fixed it and flew it again.",
L2-4,The Busy Morning,2.1,1,"I woke up late this morning. I rushed to brush my teeth and eat breakfast. I almost forgot my backpack! Luckily, Mom reminded me before I left. I made it to school just in time.",
L2-5,A Kind Neighbor,2.2,2,"Mrs. Lee lives next door to us. She has a garden full of flowers. When I walk by, she gives me one to take home. I water her plants when she is away. She says I am a good helper.",
L2-6,The Little Library,2.2,2,There is a small library on our street. I go there after school. I read storybooks about animals and space. The librarian helps me choose new books every week. Reading makes me happy.,
L2-7,The Lost Cat,2.2,2,"Our cat, Ginger, was missing one night. My sister and I looked in the yard and called her name. We found her sleeping under the porch. She was dirty but safe. We gave her milk and hugged her.",
