global_question_id,global_passage_id,question_id,passage_id,question_text,choice_1,choice_2,choice_3,choice_4,correct_answer,question_type,difficulty,manual_review,used_count,level,fixed_question_text
1,101,1,1,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains tom is at school..,It explains tom is at school..,Literal,1,FALSE,0,1,", 'What is the main idea of the passage about nan?"
2,101,2,1,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains tom is at school..,It explains tom is at school..,Literal,1,FALSE,0,1,", 'What is the main idea of the passage about nan?"
3,101,3,1,Who helps Tom?,his teacher,his friend,his sister,his father,his teacher,Detail,1,FALSE,0,1,Who helps Tom?
4,101,4,1,What is the author's main purpose in this passage?,To persuade readers to buy a product.,To entertain with a fantasy story.,To give step-by-step instructions for a craft.,To inform readers about a topic.,To inform readers about a topic.,Inference,1,FALSE,0,1,", 'What is the main idea of the passage about nan?"
5,102,5,2,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i have a dog..,It explains i have a dog..,Literal,1,FALSE,0,1,", 'What is the main idea of the passage about nan?"
6,102,6,2,What does Max like to do?,sleep,run and play,eat,bark loudly,run and play,Detail,1,FALSE,0,1,What does Max like to do?
7,102,7,2,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i have a dog..,It explains i have a dog..,Literal,1,FALSE,0,1,", 'What is the main idea of the passage about nan?"
8,102,8,2,What is the best title for this passage?,How to Build a Robot,Why Rules Matter,I Have a dog.,A Day at the Beach,I Have a dog.,Vocabulary,1,FALSE,0,1,What is the best title for this passage?
9,103,9,3,Which statement best summarizes this passage?,It explains the sun is yellow..,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains the sun is yellow..,Literal,1,FALSE,0,1,", 'What is the main idea of the passage about nan?"
10,201,1,1,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i had a red pencil i liked very much..,It explains i had a red pencil i liked very much..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
11,201,2,1,Where did the writer look for the pencil?,in the desk,in the bag,in the garden,on the bed,in the desk,Detail,1,FALSE,0,2,Where did the writer look for the pencil?
12,201,3,1,Who found the pencil?,Sam,Mom,Tom,Lucy,Sam,Detail,1,FALSE,0,2,Who found the pencil?
13,201,4,1,What is the author's main purpose in this passage?,To entertain with a fantasy story.,To give step-by-step instructions for a craft.,To inform readers about a topic.,To persuade readers to buy a product.,To inform readers about a topic.,Inference,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
14,202,5,2,Which statement best summarizes this passage?,It explains a new student came to our class today..,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains a new student came to our class today..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
15,202,6,2,How did Lucy feel at first?,shy,angry,happy,tired,shy,Detail,1,FALSE,0,2,How did Lucy feel at first?
16,202,7,2,Which statement best summarizes this passage?,It explains a new student came to our class today..,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains a new student came to our class today..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
17,202,8,2,What is the best title for this passage?,Why Rules Matter,A New student came to our,A Day at the Beach,How to Build a Robot,A New student came to our,Literal,1,FALSE,0,2,What is the best title for this passage?
18,203,9,3,What broke the kite string?,the wind,a bird,Tom,a tree,the wind,Literal,1,FALSE,0,2,What broke the kite string?
19,203,10,3,Where did the kite fall?,into a tree,on the ground,into the water,on the roof,into a tree,Detail,1,FALSE,0,2,Where did the kite fall?
20,203,11,3,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains tom’s kite flew high in the sky..,It explains tom’s kite flew high in the sky..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
21,203,12,3,What did they do after fixing it?,flew it again,went home,sold it,painted it,flew it again,Sequence,1,FALSE,0,2,What did they do after fixing it?
22,204,13,4,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i woke up late this morning..,It explains i woke up late this morning..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
23,204,14,4,Who reminded the writer about the backpack?,Mom,Dad,Teacher,Friend,Mom,Detail,1,FALSE,0,2,Who reminded the writer about the backpack?
24,204,15,4,What did the writer almost forget?,backpack,shoes,homework,jacket,backpack,Detail,1,FALSE,0,2,What did the writer almost forget?
25,204,16,4,What is the author's main purpose in this passage?,To persuade readers to buy a product.,To entertain with a fantasy story.,To give step-by-step instructions for a craft.,To inform readers about a topic.,To inform readers about a topic.,Inference,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
26,205,17,5,Who is Mrs. Lee?,neighbor,teacher,friend,aunt,neighbor,Literal,2,FALSE,0,2,Who is Mrs. Lee?
27,205,18,5,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains mrs..,It explains mrs..,Literal,2,FALSE,0,2,", 'What is the main idea of the passage about nan?"
28,205,19,5,What does the writer do when Mrs. Lee is away?,waters plants,feeds cats,picks apples,cleans house,waters plants,Detail,2,FALSE,0,2,What does the writer do when Mrs. Lee is away?
29,205,20,5,How does Mrs. Lee feel about the writer?,happy,angry,sad,bored,happy,Inference,2,FALSE,0,2,How does Mrs. Lee feel about the writer?
30,206,21,6,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains there is a small library on our street..,It explains there is a small library on our street..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
31,206,22,6,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains there is a small library on our street..,It explains there is a small library on our street..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
32,206,23,6,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains there is a small library on our street..,It explains there is a small library on our street..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
33,206,24,6,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains there is a small library on our street..,It explains there is a small library on our street..,Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
34,207,25,7,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains our cat, ginger, was missing one night..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains our cat, ginger, was missing one night..",Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
35,207,26,7,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains our cat, ginger, was missing one night..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains our cat, ginger, was missing one night..",Literal,1,FALSE,0,2,", 'What is the main idea of the passage about nan?"
