global_question_id,global_passage_id,question_id,passage_id,question_text,choice_1,choice_2,choice_3,choice_4,correct_answer,question_type,difficulty,manual_review,used_count,level
1,101.0,1.0,1.0,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains tom is at school..,It explains tom is at school..,Literal,1.0,False,0,1
2,101.0,2.0,1.0,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains tom is at school..,It explains tom is at school..,Literal,1.0,False,0,1
3,101.0,3.0,1.0,Who helps Tom?,his teacher,his friend,his sister,his father,his teacher,Detail,1.0,False,0,1
4,101.0,4.0,1.0,What is the author's main purpose in this passage?,To persuade readers to buy a product.,To entertain with a fantasy story.,To give step-by-step instructions for a craft.,To inform readers about a topic.,To inform readers about a topic.,Inference,1.0,False,0,1
5,102.0,5.0,2.0,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i have a dog..,It explains i have a dog..,Literal,1.0,False,0,1
6,102.0,6.0,2.0,What does Max like to do?,sleep,run and play,eat,bark loudly,run and play,Detail,1.0,False,0,1
7,102.0,7.0,2.0,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i have a dog..,It explains i have a dog..,Literal,1.0,False,0,1
8,102.0,8.0,2.0,What is the best title for this passage?,How to Build a Robot,Why Rules Matter,I Have a dog.,A Day at the Beach,I Have a dog.,Vocabulary,1.0,False,0,1
9,103.0,9.0,3.0,Which statement best summarizes this passage?,It explains the sun is yellow..,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains the sun is yellow..,Literal,1.0,False,0,1
10,201.0,1.0,1.0,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i had a red pencil i liked very much..,It explains i had a red pencil i liked very much..,Literal,1.0,False,0,2
11,201.0,2.0,1.0,Where did the writer look for the pencil?,in the desk,in the bag,in the garden,on the bed,in the desk,Detail,1.0,False,0,2
12,201.0,3.0,1.0,Who found the pencil?,Sam,Mom,Tom,Lucy,Sam,Detail,1.0,False,0,2
13,201.0,4.0,1.0,What is the author's main purpose in this passage?,To entertain with a fantasy story.,To give step-by-step instructions for a craft.,To inform readers about a topic.,To persuade readers to buy a product.,To inform readers about a topic.,Inference,1.0,False,0,2
14,202.0,5.0,2.0,Which statement best summarizes this passage?,It explains a new student came to our class today..,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains a new student came to our class today..,Literal,1.0,False,0,2
15,202.0,6.0,2.0,How did Lucy feel at first?,shy,angry,happy,tired,shy,Detail,1.0,False,0,2
16,202.0,7.0,2.0,Which statement best summarizes this passage?,It explains a new student came to our class today..,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains a new student came to our class today..,Literal,1.0,False,0,2
17,202.0,8.0,2.0,What is the best title for this passage?,Why Rules Matter,A New student came to our,A Day at the Beach,How to Build a Robot,A New student came to our,Literal,1.0,False,0,2
18,203.0,9.0,3.0,What broke the kite string?,the wind,a bird,Tom,a tree,the wind,Literal,1.0,False,0,2
19,203.0,10.0,3.0,Where did the kite fall?,into a tree,on the ground,into the water,on the roof,into a tree,Detail,1.0,False,0,2
20,203.0,11.0,3.0,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains tom’s kite flew high in the sky..,It explains tom’s kite flew high in the sky..,Literal,1.0,False,0,2
21,203.0,12.0,3.0,What did they do after fixing it?,flew it again,went home,sold it,painted it,flew it again,Sequence,1.0,False,0,2
22,204.0,13.0,4.0,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i woke up late this morning..,It explains i woke up late this morning..,Literal,1.0,False,0,2
23,204.0,14.0,4.0,Who reminded the writer about the backpack?,Mom,Dad,Teacher,Friend,Mom,Detail,1.0,False,0,2
24,204.0,15.0,4.0,What did the writer almost forget?,backpack,shoes,homework,jacket,backpack,Detail,1.0,False,0,2
25,204.0,16.0,4.0,What is the author's main purpose in this passage?,To persuade readers to buy a product.,To entertain with a fantasy story.,To give step-by-step instructions for a craft.,To inform readers about a topic.,To inform readers about a topic.,Inference,1.0,False,0,2
26,205.0,17.0,5.0,Who is Mrs. Lee?,neighbor,teacher,friend,aunt,neighbor,Literal,2.0,False,0,2
27,205.0,18.0,5.0,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains mrs..,It explains mrs..,Literal,2.0,False,0,2
28,205.0,19.0,5.0,What does the writer do when Mrs. Lee is away?,waters plants,feeds cats,picks apples,cleans house,waters plants,Detail,2.0,False,0,2
29,205.0,20.0,5.0,How does Mrs. Lee feel about the writer?,happy,angry,sad,bored,happy,Inference,2.0,False,0,2
30,206.0,21.0,6.0,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains there is a small library on our street..,It explains there is a small library on our street..,Literal,1.0,False,0,2
31,206.0,22.0,6.0,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains there is a small library on our street..,It explains there is a small library on our street..,Literal,1.0,False,0,2
32,206.0,23.0,6.0,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains there is a small library on our street..,It explains there is a small library on our street..,Literal,1.0,False,0,2
33,206.0,24.0,6.0,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains there is a small library on our street..,It explains there is a small library on our street..,Literal,1.0,False,0,2
34,207.0,25.0,7.0,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains our cat, ginger, was missing one night..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains our cat, ginger, was missing one night..",Literal,1.0,False,0,2
35,207.0,26.0,7.0,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains our cat, ginger, was missing one night..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains our cat, ginger, was missing one night..",Literal,1.0,False,0,2
36,207.0,27.0,7.0,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains our cat, ginger, was missing one night..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains our cat, ginger, was missing one night..",Literal,1.0,False,0,2
37,207.0,28.0,7.0,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains our cat, ginger, was missing one night..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains our cat, ginger, was missing one night..",Literal,1.0,False,0,2
38,208.0,29.0,8.0,Which statement best summarizes this passage?,It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains our class planted seeds in the school garden..,"It lists random, unrelated facts.",It explains our class planted seeds in the school garden..,Literal,1.0,False,0,2
39,208.0,30.0,8.0,Which statement best summarizes this passage?,It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains our class planted seeds in the school garden..,"It lists random, unrelated facts.",It explains our class planted seeds in the school garden..,Literal,1.0,False,0,2
40,208.0,31.0,8.0,Which statement best summarizes this passage?,It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains our class planted seeds in the school garden..,"It lists random, unrelated facts.",It explains our class planted seeds in the school garden..,Literal,1.0,False,0,2
41,208.0,32.0,8.0,Which statement best summarizes this passage?,It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains our class planted seeds in the school garden..,"It lists random, unrelated facts.",It explains our class planted seeds in the school garden..,Literal,1.0,False,0,2
42,209.0,33.0,9.0,Which statement best summarizes this passage?,"It explains it rained all day, but i still wanted to go.","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains it rained all day, but i still wanted to go.",Literal,1.0,False,0,2
43,209.0,34.0,9.0,Which statement best summarizes this passage?,"It explains it rained all day, but i still wanted to go.","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains it rained all day, but i still wanted to go.",Literal,1.0,False,0,2
44,209.0,35.0,9.0,Which statement best summarizes this passage?,"It explains it rained all day, but i still wanted to go.","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains it rained all day, but i still wanted to go.",Literal,1.0,False,0,2
45,209.0,36.0,9.0,Which statement best summarizes this passage?,"It explains it rained all day, but i still wanted to go.","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains it rained all day, but i still wanted to go.",Literal,1.0,False,0,2
