global_question_id,global_passage_id,question_id,passage_id,question_text,choice_1,choice_2,choice_3,choice_4,correct_answer,question_type,difficulty,manual_review,used_count,level
1,101,1,L1-1,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains tom is at school..,It explains tom is at school..,Literal,1,False,0,1
2,101,2,L1-1,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains tom is at school..,It explains tom is at school..,Literal,1,False,0,1
3,101,3,L1-1,Who helps Tom?,his teacher,his friend,his sister,his father,his teacher,Detail,1,False,0,1
4,101,4,L1-1,What is the author's main purpose in this passage?,To persuade readers to buy a product.,To entertain with a fantasy story.,To give step-by-step instructions for a craft.,To inform readers about a topic.,To inform readers about a topic.,Inference,1,False,0,1
5,102,5,L1-2,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i have a dog..,It explains i have a dog..,Literal,1,False,0,1
6,102,6,L1-2,What does Max like to do?,sleep,run and play,eat,bark loudly,run and play,Detail,1,False,0,1
7,102,7,L1-2,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i have a dog..,It explains i have a dog..,Literal,1,False,0,1
8,102,8,L1-2,What is the best title for this passage?,How to Build a Robot,Why Rules Matter,I Have a dog.,A Day at the Beach,I Have a dog.,Vocabulary,1,False,0,1
9,103,9,L1-3,Which statement best summarizes this passage?,It explains the sun is yellow..,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains the sun is yellow..,Literal,1,False,0,1
10,201,1,L2-1,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i had a red pencil i liked very much..,It explains i had a red pencil i liked very much..,Literal,1,False,0,2
11,201,2,L2-1,Where did the writer look for the pencil?,in the desk,in the bag,in the garden,on the bed,in the desk,Detail,1,False,0,2
12,201,3,L2-1,Who found the pencil?,Sam,Mom,Tom,Lucy,Sam,Detail,1,False,0,2
13,201,4,L2-1,What is the author's main purpose in this passage?,To entertain with a fantasy story.,To give step-by-step instructions for a craft.,To inform readers about a topic.,To persuade readers to buy a product.,To inform readers about a topic.,Inference,1,False,0,2
14,202,5,L2-2,Which statement best summarizes this passage?,It explains a new student came to our class today..,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains a new student came to our class today..,Literal,1,False,0,2
15,202,6,L2-2,How did Lucy feel at first?,shy,angry,happy,tired,shy,Detail,1,False,0,2
16,202,7,L2-2,Which statement best summarizes this passage?,It explains a new student came to our class today..,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains a new student came to our class today..,Literal,1,False,0,2
17,202,8,L2-2,What is the best title for this passage?,Why Rules Matter,A New student came to our,A Day at the Beach,How to Build a Robot,A New student came to our,Literal,1,False,0,2
18,203,9,L2-3,What broke the kite string?,the wind,a bird,Tom,a tree,the wind,Literal,1,False,0,2
19,203,10,L2-3,Where did the kite fall?,into a tree,on the ground,into the water,on the roof,into a tree,Detail,1,False,0,2
20,203,11,L2-3,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains tom’s kite flew high in the sky..,It explains tom’s kite flew high in the sky..,Literal,1,False,0,2
21,203,12,L2-3,What did they do after fixing it?,flew it again,went home,sold it,painted it,flew it again,Sequence,1,False,0,2
22,204,13,L2-4,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i woke up late this morning..,It explains i woke up late this morning..,Literal,1,False,0,2
23,204,14,L2-4,Who reminded the writer about the backpack?,Mom,Dad,Teacher,Friend,Mom,Detail,1,False,0,2
24,204,15,L2-4,What did the writer almost forget?,backpack,shoes,homework,jacket,backpack,Detail,1,False,0,2
25,204,16,L2-4,What is the author's main purpose in this passage?,To persuade readers to buy a product.,To entertain with a fantasy story.,To give step-by-step instructions for a craft.,To inform readers about a topic.,To inform readers about a topic.,Inference,1,False,0,2
26,205,17,L2-5,Who is Mrs. Lee?,neighbor,teacher,friend,aunt,neighbor,Literal,2,False,0,2
27,205,18,L2-5,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains mrs..,It explains mrs..,Literal,2,False,0,2
28,205,19,L2-5,What does the writer do when Mrs. Lee is away?,waters plants,feeds cats,picks apples,cleans house,waters plants,Detail,2,False,0,2
29,205,20,L2-5,How does Mrs. Lee feel about the writer?,happy,angry,sad,bored,happy,Inference,2,False,0,2
30,206,21,L2-6,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains there is a small library on our street..,It explains there is a small library on our street..,Literal,1,False,0,2
31,206,22,L2-6,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains there is a small library on our street..,It explains there is a small library on our street..,Literal,1,False,0,2
32,206,23,L2-6,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains there is a small library on our street..,It explains there is a small library on our street..,Literal,1,False,0,2
33,206,24,L2-6,Which statement best summarizes this passage?,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains there is a small library on our street..,It explains there is a small library on our street..,Literal,1,False,0,2
34,207,25,L2-7,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains our cat, ginger, was missing one night..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains our cat, ginger, was missing one night..",Literal,1,False,0,2
35,207,26,L2-7,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains our cat, ginger, was missing one night..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains our cat, ginger, was missing one night..",Literal,1,False,0,2
36,207,27,L2-7,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains our cat, ginger, was missing one night..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains our cat, ginger, was missing one night..",Literal,1,False,0,2
37,207,28,L2-7,Which statement best summarizes this passage?,It argues that homework should be banned.,"It explains our cat, ginger, was missing one night..","It lists random, unrelated facts.",It tells a fantasy story about dragons.,"It explains our cat, ginger, was missing one night..",Literal,1,False,0,2
38,208,29,L2-8,Which statement best summarizes this passage?,It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains our class planted seeds in the school garden..,"It lists random, unrelated facts.",It explains our class planted seeds in the school garden..,Literal,1,False,0,2
39,208,30,L2-8,Which statement best summarizes this passage?,It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains our class planted seeds in the school garden..,"It lists random, unrelated facts.",It explains our class planted seeds in the school garden..,Literal,1,False,0,2
40,208,31,L2-8,Which statement best summarizes this passage?,It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains our class planted seeds in the school garden..,"It lists random, unrelated facts.",It explains our class planted seeds in the school garden..,Literal,1,False,0,2
41,208,32,L2-8,Which statement best summarizes this passage?,It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains our class planted seeds in the school garden..,"It lists random, unrelated facts.",It explains our class planted seeds in the school garden..,Literal,1,False,0,2
42,209,33,L2-9,Which statement best summarizes this passage?,"It explains it rained all day, but i still wanted to go.","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains it rained all day, but i still wanted to go.",Literal,1,False,0,2
43,209,34,L2-9,Which statement best summarizes this passage?,"It explains it rained all day, but i still wanted to go.","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains it rained all day, but i still wanted to go.",Literal,1,False,0,2
44,209,35,L2-9,Which statement best summarizes this passage?,"It explains it rained all day, but i still wanted to go.","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains it rained all day, but i still wanted to go.",Literal,1,False,0,2
45,209,36,L2-9,Which statement best summarizes this passage?,"It explains it rained all day, but i still wanted to go.","It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,"It explains it rained all day, but i still wanted to go.",Literal,1,False,0,2
46,210,37,L2-10,Which statement best summarizes this passage?,It explains i found a small box near the playground..,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i found a small box near the playground..,Literal,1,False,0,2
47,210,38,L2-10,Which statement best summarizes this passage?,It explains i found a small box near the playground..,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i found a small box near the playground..,Literal,1,False,0,2
48,210,39,L2-10,Which statement best summarizes this passage?,It explains i found a small box near the playground..,"It lists random, unrelated facts.",It tells a fantasy story about dragons.,It argues that homework should be banned.,It explains i found a small box near the playground..,Literal,1,False,0,2
